ws,text type,value,word,frq,fpm
is a type of,Genre,Lexicographical material,hurricane,138,4.822470700607496
is a type of,Genre,Informational website,water,31,1.0833086356437125
is a type of,Genre,Informational website,sea,27,0.9435268762058142
is a type of,Genre,Informational website,level,27,0.9435268762058142
is a type of,Genre,Informational website,nitrate,20,0.698908797189492
is a type of,Genre,Informational website,sulfate,19,0.6639633573300174
is a type of,Genre,Informational website,groundwater,18,0.6290179174705428
is a type of,Genre,Informational website,carbon,16,0.5591270377515937
is a type of,Genre,Informational website,temperature,13,0.45429071817316985
is a type of,Genre,Informational website,flax,13,0.45429071817316985
is a type of,Genre,Informational website,salt,13,0.45429071817316985
is a type of,Genre,Informational website,beach,13,0.45429071817316985
is a type of,Genre,Informational website,reserve,13,0.45429071817316985
is a type of,Genre,Informational website,storm,13,0.45429071817316985
is a type of,Genre,Informational website,cotton,13,0.45429071817316985
is a type of,Genre,Informational website,oxygen,13,0.45429071817316985
is a type of,Genre,Informational website,plant,13,0.45429071817316985
is a type of,Genre,Informational website,wool,13,0.45429071817316985
is a type of,Genre,Informational website,flood,12,0.4193452783136952
is a type of,Genre,Informational website,estuary,12,0.4193452783136952
is a type of,Genre,Informational website,CO2,11,0.3843998384542206
is a type of,Genre,Informational website,gas,11,0.3843998384542206
is a type of,Genre,Informational website,term,11,0.3843998384542206
is a type of,Genre,Informational website,bisulfite,10,0.349454398594746
is a type of,Genre,Informational website,sand,10,0.349454398594746
is a type of,Genre,Informational website,ocean,10,0.349454398594746
is a type of,Genre,Informational website,wind,10,0.349454398594746
is a type of,Genre,Informational website,erosion,10,0.349454398594746
is a type of,Genre,Informational website,methane,10,0.349454398594746
is a type of,Genre,Informational website,ammonium,10,0.349454398594746
is a type of,Genre,Informational website,drought,9,0.3145089587352714
is a type of,Genre,Informational website,site,9,0.3145089587352714
is a type of,Genre,Informational website,dioxide,9,0.3145089587352714
is a type of,Genre,Informational website,rise,9,0.3145089587352714
is a type of,Genre,Informational website,atmosphere,9,0.3145089587352714
is a type of,Genre,Informational website,truck,9,0.3145089587352714
is a type of,Genre,Informational website,area,8,0.27956351887579683
