s.id,frq,fpm,ref#
s#357689,27,0.9435268762058142,35
s#243744,26,0.9085814363463397,35
s#201389,25,0.8736359964868651,35
s#241255,25,0.8736359964868651,35
s#307241,24,0.8386905566273904,35
s#608189,23,0.8037451167679158,35
s#166128,21,0.7338542370489667,35
s#515455,15,0.5241815978921189,35
s#421307,18,0.6290179174705428,35
s#276548,12,0.4193452783136952,35
s#622728,12,0.4193452783136952,35
s#639729,10,0.349454398594746,35
s#327439,10,0.349454398594746,35
s#102342,10,0.349454398594746,35
s#584439,10,0.349454398594746,35
s#638109,10,0.349454398594746,35
s#631192,10,0.349454398594746,35
s#964757,10,0.349454398594746,35
s#276566,11,0.3843998384542206,35
s#181360,11,0.3843998384542206,35
s#404844,12,0.4193452783136952,35
s#379527,18,0.6290179174705428,35
s#421309,11,0.3843998384542206,35
s#459794,12,0.4193452783136952,35
s#379529,11,0.3843998384542206,35
s#415768,11,0.3843998384542206,35
s#164280,11,0.3843998384542206,35
s#735675,11,0.3843998384542206,35
s#220777,11,0.3843998384542206,35
s#93641,19,0.6639633573300174,39
s#693850,19,0.6639633573300174,39
s#220712,20,0.698908797189492,39
s#88633,20,0.698908797189492,39
s#431529,20,0.698908797189492,39
s#966901,20,0.698908797189492,39
s#198495,20,0.698908797189492,39
s#521167,20,0.698908797189492,39
s#194954,20,0.698908797189492,39
s#528278,20,0.698908797189492,39
s#530621,33,1.153199515362662,39
s#129237,20,0.698908797189492,39
s#349344,24,0.8386905566273904,39
s#18637,24,0.8386905566273904,39
s#101282,24,0.8386905566273904,39
s#104744,24,0.8386905566273904,39
s#644542,24,0.8386905566273904,39
s#715019,24,0.8386905566273904,39
s#755218,24,0.8386905566273904,39
s#335697,24,0.8386905566273904,39
s#426687,25,0.8736359964868651,39
s#664982,25,0.8736359964868651,39
s#398644,27,0.9435268762058142,39
s#761059,28,0.9784723160652888,39
s#279513,35,1.223090395081611,39
s#584458,30,1.0483631957842379,39
s#25658,42,1.4677084740979334,39
s#346619,35,1.223090395081611,39
s#495889,25,0.8736359964868651,39
s#989109,24,0.8386905566273904,39
s#25175,25,0.8736359964868651,39
s#378838,22,0.7687996769084412,39
s#1027207,24,0.8386905566273904,39
s#775103,20,0.698908797189492,39
s#853219,20,0.698908797189492,39
s#570980,20,0.698908797189492,39
s#608346,20,0.698908797189492,39
s#620868,20,0.698908797189492,39
s#686423,20,0.698908797189492,39
s#724773,20,0.698908797189492,39
s#733875,20,0.698908797189492,39
s#185979,20,0.698908797189492,39
s#420621,20,0.698908797189492,39
s#349336,21,0.7338542370489667,39
s#586107,21,0.7338542370489667,39
s#812809,20,0.698908797189492,39
s#24996,21,0.7338542370489667,39
s#436231,20,0.698908797189492,39
s#758328,20,0.698908797189492,39
s#1024731,20,0.698908797189492,39
s#988744,8,0.27956351887579683,43
s#1022831,8,0.27956351887579683,43
s#443789,8,0.27956351887579683,43
s#414501,8,0.27956351887579683,43
s#408315,8,0.27956351887579683,43
s#185595,8,0.27956351887579683,43
s#560842,8,0.27956351887579683,43
s#292144,8,0.27956351887579683,43
s#265105,8,0.27956351887579683,43
s#319553,8,0.27956351887579683,43
s#451994,8,0.27956351887579683,43
s#362704,8,0.27956351887579683,43
s#1042341,8,0.27956351887579683,43
s#557061,8,0.27956351887579683,43
s#303622,8,0.27956351887579683,43
s#365808,8,0.27956351887579683,43
s#361602,8,0.27956351887579683,43
s#1065826,8,0.27956351887579683,43
s#373078,8,0.27956351887579683,43
s#19321,8,0.27956351887579683,43
s#528971,10,0.349454398594746,43
s#565819,8,0.27956351887579683,43
s#565593,8,0.27956351887579683,43
s#533525,12,0.4193452783136952,43
s#548735,12,0.4193452783136952,43
s#229740,12,0.4193452783136952,43
s#18722,12,0.4193452783136952,43
s#242105,12,0.4193452783136952,43
s#749265,12,0.4193452783136952,43
s#838328,12,0.4193452783136952,43
s#404747,10,0.349454398594746,43
s#291671,10,0.349454398594746,43
s#211596,10,0.349454398594746,43
s#472659,10,0.349454398594746,43
s#266705,10,0.349454398594746,43
s#413137,12,0.4193452783136952,43
s#526454,9,0.3145089587352714,43
s#641837,10,0.349454398594746,43
s#891462,9,0.3145089587352714,43
s#231559,9,0.3145089587352714,43
s#580425,9,0.3145089587352714,43
s#287749,9,0.3145089587352714,43
s#5035,9,0.3145089587352714,43
s#239720,9,0.3145089587352714,43
s#841134,9,0.3145089587352714,43
s#165326,9,0.3145089587352714,43
s#183447,9,0.3145089587352714,43
s#364784,9,0.3145089587352714,43
s#698541,8,0.27956351887579683,43
s#444013,9,0.3145089587352714,43
s#655324,2,0.06989087971894921,47
s#24198,2,0.06989087971894921,47
s#90016,2,0.06989087971894921,47
s#728594,2,0.06989087971894921,47
s#949409,2,0.06989087971894921,47
s#289235,2,0.06989087971894921,47
s#645388,2,0.06989087971894921,47
s#152618,2,0.06989087971894921,47
s#233207,2,0.06989087971894921,47
s#314280,2,0.06989087971894921,47
s#747142,2,0.06989087971894921,47
s#653804,1,0.034945439859474604,47
